line_name,specimen__id,specimen__name,specimen__hemisphere,structure__id,structure__name,structure__acronym,structure_parent__id,structure_parent__acronym,structure__layer,nr__max_euclidean_distance,nr__number_stems,nr__number_bifurcations,nr__average_contraction,nr__average_parent_daughter_ratio,nrwkf__id,erwkf__id,ef__upstroke_downstroke_ratio_long_square,ef__adaptation,ef__f_i_curve_slope,ef__threshold_i_long_square,ef__tau,ef__avg_isi,ef__avg_firing_rate,ef__ri,ef__peak_t_ramp,ef__vrest,si__height,si__width,si__path,csl__x,csl__y,csl__z,csl__normalized_depth,cell_reporter_status,m__glif,m__biophys_perisomatic,m__biophys_all_active,tag__apical,tag__dendrite_type,morph_thumb_path,ephys_thumb_path,ephys_inst_thresh_thumb_path,id
Rorb-IRES2-Cre,480114344,Rorb-IRES2-Cre-D;Ai14-197332.06.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,510.6146277,11,45,0.914468271,0.796216363,491771448,488716598,4.513262974,0.077498251,0.105,110,27.55627101,168.123,5.948026148,118.7503815,3.145646667,-71.71958022,7579,7574,/external/mousecelltypes/prod439/specimen_480114344/min_xy_480114344.aff,8279.98,1010.95,8342.63,0.411054,cre reporter positive,0,0,0,intact,spiny,/api/v2/well_known_file_download/487662286,/api/v2/well_known_file_download/483108395,/api/v2/well_known_file_download/491383093,529
Scnn1a-Tg3-Cre,476218657,Scnn1a-Tg3-Cre;Ai14-187852.04.02.01,right,721,"Primary visual area, layer 4",VISp4,385,VISp,4,483.3636095,8,31,0.864221647,0.768853341,484775245,491201432,4.504294483,0.082536257,0.083122363,130,19.81374727,103.197,9.690204173,156.5625018,4.991095,-76.88080978,5747,5755,/external/mousecelltypes/prod382/specimen_476218657/min_xy_476218657.aff,8416.71,1015.11,8306.39,0.41611,cre reporter positive,2,1,1,intact,spiny,/api/v2/well_known_file_download/487661798,/api/v2/well_known_file_download/487633010,/api/v2/well_known_file_download/491383320,682
Rbp4-Cre_KL100,485835016,Rbp4-Cre_KL100;Ai14-204744.03.02.01,right,721,"Primary visual area, layer 4",VISp4,385,VISp,4,575.2648501,7,48,0.894893041,0.737136644,496123861,491316899,4.48914108,0.069032093,0.13827233,160,15.44523464,95.628,10.45718827,90.15625263,5.716708333,-71.91176316,7579,11262,/external/mousecelltypes/prod506/specimen_485835016/min_xy_485835016.aff,8587.29,938.944,7963.05,0.452598,cre reporter positive,2,0,0,intact,spiny,/api/v2/well_known_file_download/496139468,/api/v2/well_known_file_download/485856738,/api/v2/well_known_file_download/491384101,428
Cux2-CreERT2,486146828,Cux2-CreERT2;Ai14-205221.04.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,,,,,,,496604984,4.4272535,0.023807471,0.247477745,50,21.40869573,64.81071429,15.42954758,174.5313282,2.40016,-81.01641388,,,,8642.26,1004.87,8133.47,0.443158,cre reporter negative,2,0,0,intact,spiny,,/api/v2/well_known_file_download/486157456,/api/v2/well_known_file_download/491377766,26
Rbp4-Cre_KL100,479704527,Rbp4-Cre_KL100;Ai14-196623.04.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,595.0100818,10,51,0.889384838,0.842339385,491119550,487097054,4.421133518,0.099932156,0.106591718,120.0000076,23.65180109,125.9235714,7.941324953,120.1563275,4.782561667,-74.21300983,9422,11259,/external/mousecelltypes/prod435/specimen_479704527/min_xy_479704527.aff,8924.38,1168.12,2922.25,0.391552,cre reporter negative,2,1,1,intact,spiny,/api/v2/well_known_file_download/491373559,/api/v2/well_known_file_download/483108099,/api/v2/well_known_file_download/491382878,413
Ntsr1-Cre_GN220,485911892,Ntsr1-Cre;Ai14-204780.05.01.01,left,233,"Anterolateral visual area, layer 5",VISal5,402,VISal,5,1334.77351,5,18,0.901530529,0.748126169,,496197303,4.412696655,0.044086793,0.185106398,110,20.64461585,81.00636364,12.34470917,165.3125048,3.785028333,-77.49500885,7595,7582,/external/mousecelltypes/prod539/specimen_485911892/min_xy_485911892.aff,8353.71,1896.71,2103.69,0.682534,cre reporter negative,2,0,0,intact,spiny,,/api/v2/well_known_file_download/485914476,/api/v2/well_known_file_download/491765535,232
Cux2-CreERT2,502808270,Cux2-CreERT2;Ai14-230639.05.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,,,,,,,515384189,4.405621943,0.008685331,0.206735156,59.99999619,24.94367576,56.35411765,17.74493226,192.4999952,3.621393333,-74.24310303,5728,5749,/external/mousecelltypes/prod668/specimen_502808270/min_xy_502808270.aff,8287.56,975.693,3107.28,0.401038,cre reporter positive,0,0,0,intact,spiny,,/api/v2/well_known_file_download/511602516,/api/v2/well_known_file_download/511602518,57
Rorb-IRES2-Cre,485884503,Rorb-IRES2-Cre-D;Ai14-204765.03.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,599.3129539,10,27,0.914322349,0.713866782,512328651,496603746,4.401047381,0.077184422,0.13898662,110,18.11394125,98.27777778,10.17524025,156.0937899,2.767226667,-78.35942735,7604,7590,/external/mousecelltypes/prod507/specimen_485884503/min_xy_485884503.aff,8949.89,1090.47,2980.73,0.341853,cre reporter positive,2,0,0,intact,spiny,/api/v2/well_known_file_download/512328756,/api/v2/well_known_file_download/485886177,/api/v2/well_known_file_download/491384401,560
Cux2-CreERT2,486239338,Cux2-CreERT2;Ai14-207760.03.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,418.449089,11,29,0.911029847,0.788110012,496163978,515381484,4.382053835,0.045540585,0.158392005,110,20.45652632,75.40833333,13.26113383,171.2500399,2.701573333,-78.41592058,7570,5738,/external/mousecelltypes/prod507/specimen_486239338/min_xy_486239338.aff,8880.53,1167.58,2817.15,0.353489,cre reporter positive,2,1,0,intact,spiny,/api/v2/well_known_file_download/516608131,/api/v2/well_known_file_download/486240027,/api/v2/well_known_file_download/491377321,31
Htr3a-Cre_NO152,464188580,Htr3a-Cre_NO152;Ai14-178910.03.01.01,left,821,"Primary visual area, layer 2/3",VISp2/3,385,VISp,02-Mar,113.7802061,4,21,0.893029643,0.859953542,491120335,491198387,4.353247375,0.001311376,0.210762945,170,10.28961693,86.00909091,11.62667794,111.5625393,6.041676667,-78.328741,5762,5758,/external/mousecelltypes/prod312/specimen_464188580/min_xy_464188580.aff,8329.39,654.259,3444.78,0.205451,cre reporter positive,2,1,1,NA,aspiny,/api/v2/well_known_file_download/487661102,/api/v2/well_known_file_download/487611643,/api/v2/well_known_file_download/491381642,82
Htr3a-Cre_NO152,469753383,Htr3a-Cre_NO152;Ai14-178904.04.01.01,left,821,"Primary visual area, layer 2/3",VISp2/3,385,VISp,02-Mar,115.8750705,7,29,0.902940903,0.974254077,491120307,491198023,4.297567927,0.017521729,0.142028158,249.9999847,7.781853776,75.90375,13.17457965,104.375001,8.0096625,-79.16914667,3890,3896,/external/mousecelltypes/prod286/specimen_469753383/min_xy_469753383.aff,8284.1,846.479,8587.21,0.149197,cre reporter positive,2,1,1,NA,aspiny,/api/v2/well_known_file_download/487660871,/api/v2/well_known_file_download/487610194,/api/v2/well_known_file_download/491383420,84
Rorb-IRES2-Cre,476562817,Rorb-IRES2-Cre-D;Ai14-188705.03.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,523.9527752,8,34,0.880058277,0.720237529,508278935,491198602,4.290042212,0.030622748,0.251415094,70,16.41006127,72.30961538,13.82941943,147.1875396,3.75047,-74.22064651,7578,7582,/external/mousecelltypes/prod507/specimen_476562817/min_xy_476562817.aff,8615.3,1173.35,2726.49,0.370827,cre reporter positive,5,0,0,intact,spiny,/api/v2/well_known_file_download/508279128,/api/v2/well_known_file_download/491376859,/api/v2/well_known_file_download/491376861,501
Rbp4-Cre_KL100,485838981,Rbp4-Cre_KL100;Ai14-204744.04.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,812.8557672,7,63,0.916520319,0.823044312,508279022,491316597,4.280574187,0.048498769,0.123913043,190,14.00871832,127.4021429,7.849161541,95.62488821,6.45164,-73.87279175,9399,7582,/external/mousecelltypes/prod506/specimen_485838981/min_xy_485838981.aff,8286.34,1050.56,8296.59,0.470453,cre reporter positive,2,0,0,intact,spiny,/api/v2/well_known_file_download/508279173,/api/v2/well_known_file_download/485860065,/api/v2/well_known_file_download/491378448,430
Ctgf-2A-dgCre,501956013,Ctgf-2A-dgCre;Ai14(IVSCC)-230021.05.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,507.7811581,5,39,0.892380184,0.832897494,,515367168,4.238694297,0.027846549,0.107445203,130,18.67107255,151.652,6.594044259,99.06257689,7.758886667,-75.14334106,5727,7592,/external/mousecelltypes/prod673/specimen_501956013/min_xy_501956010.aff,8347.95,1294.6,3080.18,0.712786,cre reporter positive,0,0,0,intact,spiny,,/api/v2/well_known_file_download/512475593,/api/v2/well_known_file_download/512475595,5
Rorb-IRES2-Cre,473020156,Rorb-IRES2-Cre-D;Ai14-181710.05.02.01,right,721,"Primary visual area, layer 4",VISp4,385,VISp,4,392.4269453,8,24,0.8711765,0.732353875,491771277,496390161,4.217187821,0.028646387,0.256137663,70,22.29461496,64.19678571,15.57710388,195.0000403,2.410198333,-76.73442473,7594,7590,/external/mousecelltypes/prod351/specimen_473020156/min_xy_473020156.aff,8078.08,833.139,8074.48,0.352358,cre reporter positive,5,1,0,intact,spiny,/api/v2/well_known_file_download/487661716,/api/v2/well_known_file_download/487629700,/api/v2/well_known_file_download/491381939,490
Cux2-CreERT2,489887491,Cux2-CreERT2;Ai14-213727.03.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,,,,,,,496603162,4.214050119,,0.063787598,209.9999847,12.39448957,79.89,12.51721117,108.4375391,4.446493333,-72.26127925,,,,8888.94,1002.35,8078.25,0.410901,cre reporter positive,5,0,0,intact,spiny,,/api/v2/well_known_file_download/489888164,/api/v2/well_known_file_download/491529750,49
Cux2-CreERT2,483057325,Cux2-CreERT2;Ai14-198017.03.02.01,right,721,"Primary visual area, layer 4",VISp4,385,VISp,4,,,,,,,496158776,4.2084854,0.042214601,0.177449434,110,21.95493548,81.39454545,12.28583555,266.4063289,1.310728333,-72.17404514,7563,5734,/external/mousecelltypes/prod477/specimen_483057325/min_xy_483057325.aff,9040.43,897.979,7827.08,0.353418,cre reporter positive,2,0,0,intact,spiny,,/api/v2/well_known_file_download/485510624,/api/v2/well_known_file_download/491382284,8
Scnn1a-Tg3-Cre,314831019,Scnn1a-Tg3-Cre;Ai14-168093.03.02.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,534.6701953,10,35,0.843946659,0.817371603,491119595,491200593,4.198302999,0.055157664,0.156709452,90,20.28107147,128.9383333,7.755645464,140.9376107,3.351453333,-76.52507891,7597,5742,/external/mousecelltypes/prod149/specimen_314831019/min_xy_314831019.aff,8671.18,953.601,3425.82,0.452628,cre reporter positive,0,1,1,intact,spiny,/api/v2/well_known_file_download/487660875,/api/v2/well_known_file_download/487622116,/api/v2/well_known_file_download/491382594,648
Rbp4-Cre_KL100,488117124,Rbp4-Cre_KL100;Ai14-211533.05.02.01,right,721,"Primary visual area, layer 4",VISp4,385,VISp,4,431.1227284,11,43,0.936260837,0.73517655,505206422,496453639,4.195805859,0.038669016,0.167582429,130,24.55205102,105.96125,9.437412262,137.9687515,5.835458333,-79.88076374,9416,7584,/external/mousecelltypes/prod558/specimen_488117124/min_xy_488117124.aff,8078.38,945.744,8141.12,0.442399,cre reporter positive,0,1,0,intact,spiny,/api/v2/well_known_file_download/505206469,/api/v2/well_known_file_download/488121184,/api/v2/well_known_file_download/491377199,443
Rorb-IRES2-Cre,486500736,Rorb-IRES2-Cre-D;Ai14-206927.05.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,,,,,,,496603451,4.164172958,,0.103673661,190,18.53712012,89.51,11.1719361,116.4062532,4.002701667,-77.78005791,,,,8468.14,1334.97,2479.47,0.409119,cre reporter positive,5,0,0,intact,spiny,,/api/v2/well_known_file_download/486503168,/api/v2/well_known_file_download/491383982,565
Rorb-IRES2-Cre,501848265,Rorb-IRES2-Cre-D;Ai14-228832.03.02.01,right,573,"Lateral visual area, layer 4",VISl4,409,VISl,4,,,,,,,515456895,4.154875446,0.092311154,0.144128789,170,18.51432341,83.224,12.01576468,155.781135,4.203673333,-76.85968018,5758,9428,/external/mousecelltypes/prod627/specimen_501848265/min_xy_501848265.aff,8819.72,1681.43,9352.13,0.347642,cre reporter positive,0,0,0,intact,spiny,,/api/v2/well_known_file_download/512473893,/api/v2/well_known_file_download/512473895,600
Rbp4-Cre_KL100,471141261,Rbp4-Cre_KL100;Ai14-180747.02.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,487.1995261,7,21,0.868795212,0.850655829,501146908,491202690,4.152460998,0.015226471,0.164265823,209.9999847,14.57837403,85.318,11.72085609,91.25000095,7.647211667,-78.79211879,7627,7921,/external/mousecelltypes/prod314/specimen_471141261/min_xy_471141261.aff,9009.1,1513.31,2765.17,0.598525,cre reporter positive,2,0,0,intact,spiny,/api/v2/well_known_file_download/487660858,/api/v2/well_known_file_download/487624978,/api/v2/well_known_file_download/491380421,404
Rorb-IRES2-Cre,500859045,Rorb-IRES2-Cre-D;Ai14-226103.04.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,,,,,,,515521898,4.14659622,0.017967467,0.257843149,130,17.96684937,58.6875,17.03940362,162.6562029,3.213766667,-75.23552704,7589,9434,/external/mousecelltypes/prod632/specimen_500859045/min_xy_500859045.aff,8435.2,1015.41,3022.36,0.387617,cre reporter positive,0,0,0,intact,spiny,,/api/v2/well_known_file_download/511624248,/api/v2/well_known_file_download/511624250,598
Rbp4-Cre_KL100,486236426,Rbp4-Cre_KL100;Ai14-206137.04.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,,,,,,,496453773,4.146439035,,0.088051461,290,8.743351452,324.9775,3.077136109,69.37500078,8.097755,-73.92785478,,,,8984.03,1614.67,8937.43,0.517192,cre reporter positive,2,0,0,intact,spiny,,/api/v2/well_known_file_download/486237247,/api/v2/well_known_file_download/491384141,439
Rorb-IRES2-Cre,500857324,Rorb-IRES2-Cre-D;Ai14-226103.03.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,,,,,,,515457485,4.14364361,0.035861314,0.146334901,90,24.06134655,107.61,9.292816653,160.3124589,4.867526667,-74.14933777,7588,5751,/external/mousecelltypes/prod673/specimen_500857324/min_xy_500857316.aff,8748.68,785.211,3664.14,0.350176,cre reporter positive,0,0,0,intact,spiny,,/api/v2/well_known_file_download/512293435,/api/v2/well_known_file_download/512293437,597
Rbp4-Cre_KL100,479728896,Rbp4-Cre_KL100;Ai14-196624.06.02.01,right,312782562,"Anterior area, layer 5",VISa5,312782546,VISa,5,529.0142885,5,23,0.888304919,0.770606805,491253816,496573497,4.143069398,0.038842717,0.182600568,90,18.19792068,76.51045455,13.07010925,135.9374251,3.823188333,-83.6221267,7582,5752,/external/mousecelltypes/prod428/specimen_479728896/min_xy_479728896.aff,7681.86,863.135,8012.75,0.398074,cre reporter negative,2,1,0,intact,spiny,/api/v2/well_known_file_download/487686016,/api/v2/well_known_file_download/491376483,/api/v2/well_known_file_download/491376489,416
Nr5a1-Cre,502245101,Nr5a1-Cre;Ai14-230420.04.02.01,right,821,"Primary visual area, layer 2/3",VISp2/3,385,VISp,02-Mar,,,,,,,515387306,4.140237312,0.031228518,0.040419162,70,23.8389264,62.092,16.10513432,174.999997,3.101333333,-77.47488403,7584,7584,/external/mousecelltypes/prod673/specimen_502245101/min_xy_502245099.aff,8671.75,1150.37,8803.07,0.27035,cre reporter positive,0,0,0,intact,spiny,,/api/v2/well_known_file_download/511853157,/api/v2/well_known_file_download/511853159,213
Cux2-CreERT2,486146717,Cux2-CreERT2;Ai14-205221.03.01.01,right,721,"Primary visual area, layer 4",VISp4,385,VISp,4,405.0305999,8,36,0.920951247,0.811497817,500961568,496197138,4.114900527,0.212369051,0.048550723,70,21.97689241,175.1916667,5.708034058,231.09,2.743716667,-78.20089912,7595,5755,/external/mousecelltypes/prod535/specimen_486146717/min_xy_486146717.aff,8946.03,1442.79,8981.98,0.35726,cre reporter positive,2,1,0,intact,spiny,/api/v2/well_known_file_download/501086521,/api/v2/well_known_file_download/486149277,/api/v2/well_known_file_download/491380180,25
Rorb-IRES2-Cre,488495740,Rorb-IRES2-Cre-D;Ai14-212868.03.01.01,left,778,"Primary visual area, layer 5",VISp5,385,VISp,5,,,,,,,496608193,4.113840119,0.031249351,0.264985165,30.00000191,30.30031445,38.8766,25.722414,311.8750032,1.281086667,-69.07753118,,,,8672.58,1034.04,3498.26,0.560825,cre reporter negative,5,0,0,NA,aspiny,,/api/v2/well_known_file_download/488496424,/api/v2/well_known_file_download/491378140,575
Rorb-IRES2-Cre,480273887,Rorb-IRES2-Cre-D;Ai14-197850.03.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,,,,,,,487096785,4.111181037,0.025131928,0.088232433,110,28.54738983,128.1691667,7.802188514,129.8437894,4.29488,-68.98883891,5720,7629,/external/mousecelltypes/prod448/specimen_480273887/min_xy_480273887.aff,9191.72,1564.79,2412.12,0.37827,cre reporter positive,2,0,0,intact,spiny,,/api/v2/well_known_file_download/483108805,/api/v2/well_known_file_download/491378309,540
Rorb-IRES2-Cre,486466923,Rorb-IRES2-Cre-D;Ai14-206924.02.02.01,right,721,"Primary visual area, layer 4",VISp4,385,VISp,4,,,,,,,496604291,4.104296529,0.088290884,0.092150887,150,25.94665418,81.585,12.25715511,193.5936371,1.962921667,-75.92685338,,,,9216.69,1316.73,8554.8,0.390061,cre reporter positive,2,0,0,intact,spiny,,/api/v2/well_known_file_download/486467703,/api/v2/well_known_file_download/491382081,563
Cux2-CreERT2,486106720,Cux2-CreERT2;Ai14-205216.03.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,,,,,,,496603860,4.090604062,0.045775324,0.178435361,110,19.34626962,120.9785714,8.265926669,184.0625782,2.126696667,-79.03551047,,,,8693.53,1167.95,2722.33,0.349258,cre reporter positive,0,0,0,intact,spiny,,/api/v2/well_known_file_download/486108058,/api/v2/well_known_file_download/491383824,23
Ctgf-2A-dgCre,501845630,Ctgf-2A-dgCre;Ai14(IVSCC)-229236.03.01.01,left,33,"Primary visual area, layer 6a",VISp6a,385,VISp,6a,484.6076208,5,30,0.880236554,0.79076005,514342369,515338359,4.082371082,0.033304617,0.156613763,90,18.83258882,94.88888889,10.53864169,157.3437452,4.9012,-75.54875183,7591,5751,/external/mousecelltypes/prod673/specimen_501845630/min_xy_501845628.aff,8654.19,1518.17,2897.02,0.787512,cre reporter negative,0,0,0,intact,spiny,/api/v2/well_known_file_download/516477266,/api/v2/well_known_file_download/512191858,/api/v2/well_known_file_download/512191860,2
Scnn1a-Tg2-Cre,476056333,Scnn1a-Tg2-Cre;Ai14-185900.03.02.01,right,721,"Primary visual area, layer 4",VISp4,385,VISp,4,,,,,,,491202029,4.081902903,0.027384956,0.17404892,90,18.74687555,71.72153846,13.94281302,158.1250398,3.496595,-72.29564979,,,,8806.77,859.405,7879.53,0.363123,cre reporter positive,2,0,0,intact,spiny,,/api/v2/well_known_file_download/491376422,/api/v2/well_known_file_download/491376424,626
Cux2-CreERT2,486776965,Cux2-CreERT2;Ai14-208112.05.01.01,left,721,"Primary visual area, layer 4",VISp4,385,VISp,4,,,,,,,496604690,4.071715272,0.097023349,0.124761785,160,17.26407436,129.6216667,7.714759621,125.7812155,5.320653333,-80.31888362,,,,8067.77,1009.55,2939.08,0.373303,cre reporter positive,0,0,0,intact,spiny,,/api/v2/well_known_file_download/486781128,/api/v2/well_known_file_download/491383839,35
Cux2-CreERT2,483101699,Cux2-CreERT2;Ai14-198018.04.01.01,left,573,"Lateral visual area, layer 4",VISl4,409,VISl,4,317.2807127,6,34,0.911884264,0.764057616,514351603,496605998,4.045319097,0.022854224,0.141865006,150,15.13045488,88.649,11.2804431,117.9686367,6.241616667,-78.13201114,9443,7601,/external/mousecelltypes/prod507/specimen_483101699/min_xy_483101699.aff,8509.08,1383.77,2291.7,0.333213,cre reporter positive,2,1,0,intact,spiny,/api/v2/well_known_file_download/516477274,/api/v2/well_known_file_download/483105273,/api/v2/well_known_file_download/491377460,10
Rorb-IRES2-Cre,486472847,Rorb-IRES2-Cre-D;Ai14-206925.04.02.01,left,41,"posteromedial visual area, layer 2/3",VISpm2/3,533,VISpm,02-Mar,,,,,,,496158145,4.044318792,0.033842829,0.170278835,70,25.05030438,60.25666667,16.59567406,251.093867,2.246268333,-77.47291093,5704,5770,/external/mousecelltypes/prod509/specimen_486472847/min_xy_486472847.aff,8414.47,642.182,3776.66,0.287332,cre reporter positive,5,0,0,intact,spiny,,/api/v2/well_known_file_download/486474472,/api/v2/well_known_file_download/491383962,564
Rorb-IRES2-Cre,488698341,Rorb-IRES2-Cre-D;Ai14-212873.03.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,,,,,,,496603879,4.036941321,0.092951504,0.145063542,170,16.11488027,116.6075,8.575777716,98.75007726,5.214056667,-71.64709341,9466,9488,/external/mousecelltypes/prod571/specimen_488698341/min_xy_488698341.aff,8788.89,1155.6,8413.36,0.437849,cre reporter negative,2,0,0,intact,spiny,,/api/v2/well_known_file_download/488699503,/api/v2/well_known_file_download/491517291,590
Rorb-IRES2-Cre,480778441,Rorb-IRES2-Cre-D;Ai14-197715.06.02.01,right,778,"Primary visual area, layer 5",VISp5,385,VISp,5,,,,,,,496605954,4.027633222,0.036884485,0.237839738,50,27.5470916,65.86923077,15.18159524,241.4062505,2.029265,-78.16027149,,,,8405,1130.11,8422.45,0.47935,cre reporter positive,2,0,0,intact,spiny,,/api/v2/well_known_file_download/483150328,/api/v2/well_known_file_download/491382368,548
